,city,cloudiness,country,date,humidity,lat,lng,max_temp,max_speed
146,road town,89,VG,1570852143,69,18.42,-64.62,82.99,10.03
147,grindavik,75,IS,1570852145,80,63.84,-22.43,41.0,2.24
148,mosquera,75,CO,1570852146,87,4.71,-74.23,55.4,3.36
149,burley,1,US,1570852147,55,42.54,-113.79,41.0,6.51
150,bathsheba,40,BB,1570852149,78,13.22,-59.52,80.6,8.05
151,san andres,67,PH,1570852150,60,13.32,122.68,87.4,1.95
152,terrell,1,US,1570852151,34,32.74,-96.28,54.0,14.99
153,gisborne,100,NZ,1570852153,98,-38.66,178.02,55.99,1.99
154,slavsk,100,RU,1570852154,83,55.05,21.68,55.36,17.55
155,tabas,0,IR,1570852156,34,33.6,56.92,64.4,2.24
156,iroquois falls,75,CA,1570852157,55,48.76,-80.69,59.0,17.22
157,uzhur,17,RU,1570852158,46,55.32,89.85,35.92,6.43
158,surgut,100,RU,1570852160,89,61.25,73.4,37.0,4.14
159,albertville,0,FR,1570852161,93,45.68,6.39,50.0,2.24
160,kita,75,JP,1570852162,94,35.76,139.74,78.8,29.97
161,umiray,90,PH,1570852165,88,15.22,121.41,78.22,4.49
162,marienburg,20,DE,1570852166,67,52.12,9.98,64.4,16.11
163,leningradskiy,87,RU,1570852167,56,69.38,178.42,29.26,5.99
164,mandalgovi,88,MN,1570852169,58,45.76,106.27,26.74,6.42
165,isnos,96,CO,1570852173,96,1.94,-76.24,57.34,3.52
166,hilo,90,US,1570852175,69,19.71,-155.08,82.4,4.7
167,saskylakh,87,RU,1570852176,78,71.97,114.09,17.02,5.72
168,waghai,0,IN,1570852178,76,20.77,73.5,79.66,4.06
169,nouadhibou,79,MR,1570852179,60,20.93,-17.03,75.2,18.34
170,tuktoyaktuk,90,CA,1570852182,92,69.44,-133.03,30.2,16.11
171,mahebourg,40,MU,1570852183,88,-20.41,57.7,73.99,12.75
172,saint george,40,GR,1570852184,88,39.45,22.34,66.2,2.0
173,karia,100,NG,1570852186,77,11.73,11.16,74.8,11.64
174,sao joao da barra,8,BR,1570852187,83,-21.64,-41.05,73.72,19.67
175,chuy,15,UY,1570852188,92,-33.69,-53.46,63.1,5.67
176,verkhnevilyuysk,100,RU,1570852190,80,63.45,120.31,21.34,11.87
177,san ramon,100,NI,1570852192,95,12.92,-85.84,64.54,5.15
178,araouane,88,ML,1570852194,38,18.9,-3.53,88.12,5.29
179,izumo,75,JP,1570852195,68,35.37,132.75,69.8,36.91
180,poso,71,ID,1570852196,74,-1.4,120.75,76.6,3.62
181,flinders,90,AU,1570852199,67,-34.58,150.85,60.01,14.99
182,gornopravdinsk,100,RU,1570852201,85,60.06,69.92,36.82,8.31
183,butaritari,100,KI,1570852203,62,3.07,172.79,85.78,7.78
184,kruisfontein,93,ZA,1570852204,74,-34.0,24.73,51.4,5.37
185,prattville,40,US,1570852205,73,32.46,-86.46,75.99,3.57
186,jiuquan,0,CN,1570852207,39,39.73,98.49,51.76,4.9
187,saint anthony,1,US,1570852209,43,43.97,-111.68,32.0,3.36
188,ornskoldsvik,100,SE,1570852211,96,63.29,18.72,37.4,5.82
189,mishkino,56,RU,1570852212,95,56.22,46.62,40.6,6.66
190,tevaitoa,0,PF,1570852214,75,-16.78,-151.5,74.8,17.6
191,nikolskoye,90,RU,1570852216,87,59.7,30.79,50.0,8.95
192,razole,1,IN,1570852217,69,16.48,81.84,85.6,2.02
193,vila velha,8,BR,1570852218,69,-3.71,-38.6,80.6,14.99
194,verkhoyansk,100,RU,1570852220,75,67.55,133.39,23.32,19.37
195,pochutla,75,MX,1570852221,65,15.74,-96.47,79.0,6.93
196,palu,100,ID,1570852222,65,-0.9,119.87,81.64,3.86
197,puerto baquerizo moreno,71,EC,1570852224,87,-0.9,-89.6,66.52,14.08
198,puerto ayora,22,EC,1570852225,90,-0.74,-90.35,66.99,4.0
199,birjand,0,IR,1570852226,48,32.86,59.22,44.6,6.93
200,saint-augustin,5,CA,1570852228,66,45.63,-73.98,54.0,9.49
201,biak,100,ID,1570852229,79,-0.91,122.88,80.38,6.2
202,midland,1,US,1570852231,25,32.0,-102.08,51.8,4.7
203,cravo norte,93,CO,1570852233,91,6.3,-70.2,76.24,4.94
204,tanakpur,0,IN,1570852234,83,29.07,80.11,69.8,1.05
205,san patricio,0,PY,1570852235,53,-26.98,-56.83,81.64,8.32
206,lowestoft,100,GB,1570852237,93,52.48,1.75,52.0,5.82
207,forbes,87,AU,1570852238,60,-33.38,148.01,61.0,8.07
208,bang rakam,20,TH,1570852239,75,16.75,100.12,89.6,2.24
209,cherskiy,100,RU,1570852241,69,68.75,161.3,27.46,13.14
210,saint-georges,64,CA,1570852242,64,46.12,-70.67,46.99,3.0
211,sikeston,1,US,1570852243,81,36.88,-89.59,46.4,6.47
212,kovdor,99,RU,1570852245,96,67.56,30.47,28.54,7.17
213,balikpapan,100,ID,1570852246,71,-1.24,116.86,85.96,3.67
214,laguna,40,BZ,1570852247,88,16.17,-88.94,78.8,4.7
215,khor,0,RU,1570852249,34,47.88,134.96,40.78,9.84
216,kinshasa,20,CD,1570852250,88,-4.32,15.31,75.2,4.7
217,coquimbo,33,CL,1570852251,87,-29.95,-71.34,51.8,3.36
218,pelym,90,RU,1570852253,91,61.01,62.0,40.96,9.41
219,half moon bay,1,US,1570852254,50,37.46,-122.43,69.8,3.36
220,canavieiras,0,BR,1570852255,86,-15.68,-38.95,72.1,4.78
221,hambantota,20,LK,1570852257,83,6.12,81.12,84.2,2.24
222,cyangugu,63,CD,1570852258,96,-2.49,28.9,58.24,1.98
223,taksimo,38,RU,1570852259,40,56.36,114.84,20.62,5.04
224,egvekinot,69,RU,1570852261,74,66.32,-179.17,18.82,4.3
225,nchelenge,98,ZM,1570852262,58,-9.35,28.74,73.9,5.24
226,benguela,100,AO,1570852263,84,-12.58,13.4,72.64,5.32
227,rafraf,20,TN,1570852264,87,37.19,10.18,60.8,3.36
228,benjamin constant,75,BR,1570852266,100,-4.38,-70.03,75.2,2.24
229,dingle,24,PH,1570852267,69,11.0,122.67,84.52,3.9
230,tigil,100,RU,1570852268,66,57.8,158.67,46.72,27.12
231,acapulco,90,MX,1570852270,79,16.86,-99.88,84.2,3.36
232,nanchang,84,CN,1570852274,49,28.68,115.89,79.3,11.71
233,imeni poliny osipenko,15,RU,1570852275,24,52.42,136.49,37.36,16.36
234,kavaratti,40,IN,1570852276,74,10.57,72.64,86.0,3.36
235,phibun mangsahan,75,TH,1570852278,74,15.24,105.23,86.0,5.82
236,middelburg,64,NL,1570852279,93,51.5,3.61,60.01,6.93
237,durham,75,GB,1570852280,87,54.78,-1.58,51.01,10.29
238,hofn,0,IS,1570852282,58,64.25,-15.21,42.58,13.5
239,najran,18,SA,1570852283,43,17.54,44.22,69.8,1.44
240,lexington park,1,US,1570852284,67,38.26,-76.45,62.6,3.36
241,pangai,75,TO,1570852286,74,-19.8,-174.35,80.6,13.87
242,catuday,0,PH,1570852287,79,16.29,119.81,80.92,9.19
243,devonport,0,AU,1570852288,54,-41.18,146.36,57.0,8.99
244,ahuimanu,75,US,1570852290,78,21.44,-157.84,84.2,14.99
245,kapuskasing,90,CA,1570852291,41,49.42,-82.43,59.0,19.46
246,shingu,75,JP,1570852292,78,33.72,135.99,75.2,27.51
247,sur,0,OM,1570852294,61,22.57,59.53,81.28,4.94
248,novobirilyussy,36,RU,1570852295,40,56.95,90.69,32.68,9.69
249,jacksonville,1,US,1570852296,100,30.33,-81.66,75.99,7.93
250,beysehir,0,TR,1570852298,83,37.68,31.72,52.12,5.88
251,vulcan,0,CA,1570852299,79,50.4,-113.26,28.0,4.51
252,misantla,68,MX,1570852300,97,19.93,-96.85,71.92,2.91
